UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:36 ?        00:00:11 /lib/systemd/systemd --system --deserialize=41 splash
root           2       0  0 18:36 ?        00:00:00 [kthreadd]
root           3       2  0 18:36 ?        00:00:00 [rcu_gp]
root           4       2  0 18:36 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:36 ?        00:00:00 [slub_flushwq]
root           6       2  0 18:36 ?        00:00:00 [netns]
root           8       2  0 18:36 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 18:36 ?        00:00:02 [kworker/u8:0-events_unbound]
root          10       2  0 18:36 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 18:36 ?        00:00:00 [rcu_tasks_rude_kthread]
root          12       2  0 18:36 ?        00:00:00 [rcu_tasks_trace_kthread]
root          13       2  0 18:36 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 18:36 ?        00:00:01 [rcu_sched]
root          15       2  0 18:36 ?        00:00:00 [migration/0]
root          17       2  0 18:36 ?        00:00:00 [cpuhp/0]
root          18       2  0 18:36 ?        00:00:00 [cpuhp/1]
root          19       2  0 18:36 ?        00:00:00 [migration/1]
root          20       2  0 18:36 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 18:36 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 18:36 ?        00:00:00 [cpuhp/2]
root          24       2  0 18:36 ?        00:00:00 [migration/2]
root          25       2  0 18:36 ?        00:00:00 [ksoftirqd/2]
root          27       2  0 18:36 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2  0 18:36 ?        00:00:00 [cpuhp/3]
root          29       2  0 18:36 ?        00:00:00 [migration/3]
root          30       2  0 18:36 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 18:36 ?        00:00:00 [kworker/3:0H-events_highpri]
root          34       2  0 18:36 ?        00:00:00 [kdevtmpfs]
root          35       2  0 18:36 ?        00:00:00 [inet_frag_wq]
root          36       2  0 18:36 ?        00:00:00 [kauditd]
root          37       2  0 18:36 ?        00:00:00 [khungtaskd]
root          39       2  0 18:36 ?        00:00:00 [oom_reaper]
root          40       2  0 18:36 ?        00:00:00 [writeback]
root          41       2  0 18:36 ?        00:00:01 [kcompactd0]
root          42       2  0 18:36 ?        00:00:00 [ksmd]
root          44       2  0 18:36 ?        00:00:00 [khugepaged]
root          45       2  0 18:36 ?        00:00:00 [kintegrityd]
root          46       2  0 18:36 ?        00:00:00 [kblockd]
root          47       2  0 18:36 ?        00:00:00 [blkcg_punt_bio]
root          48       2  0 18:36 ?        00:00:00 [tpm_dev_wq]
root          49       2  0 18:36 ?        00:00:00 [edac-poller]
root          50       2  0 18:36 ?        00:00:00 [devfreq_wq]
root          51       2  0 18:36 ?        00:00:00 [watchdogd]
root          52       2  0 18:36 ?        00:00:00 [kworker/1:1H-kblockd]
root          53       2  0 18:36 ?        00:00:02 [kswapd0]
root          60       2  0 18:36 ?        00:00:00 [kthrotld]
root          62       2  0 18:36 ?        00:00:00 [irq/49-ACPI:Ged]
root          63       2  0 18:36 ?        00:00:00 [acpi_thermal_pm]
